,Year,PRASX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,99.88,30.63,73.61,69.25,26.26,1.21,70.0,11.0
1,2000,-30.79,-15.31,-25.36,-15.48,-5.44,1.08,52.0,71.0
2,2001,-10.0,-19.73,-2.63,9.73,-7.37,1.22,49.0,64.0
3,2002,-9.36,-14.95,-8.76,5.59,-0.6,1.17,72.0,30.0
4,2003,53.54,40.83,53.64,12.71,-0.1,1.17,1.17,38.0
5,2004,18.6,20.91,13.21,-2.31,5.4,1.09,1.09,7.0
6,2005,26.43,16.62,21.3,9.81,5.13,1.05,56.0,23.0
7,2006,36.12,26.65,45.36,9.47,-9.23,1.05,76.0,62.0
8,2007,66.38,16.65,47.53,49.73,18.85,0.93,53.0,12.0
9,2008,-60.99,-45.53,-53.5,-15.47,-7.49,0.96,55.0,83.0
10,2009,102.76,41.45,71.16,61.31,31.6,1.01,60.0,9.0
11,2010,20.35,11.15,18.77,9.2,1.59,0.96,49.0,49.0
12,2011,-12.14,-13.71,-20.95,1.57,8.81,0.96,68.0,18.0
13,2012,23.69,16.83,23.62,6.86,0.07,0.95,41.0,46.0
14,2013,-0.54,15.29,2.21,-15.82,-2.74,0.93,49.0,74.0
15,YTD,11.62,-0.27,8.16,11.89,3.45,3.45,3.45,22.0
