,Year,PRCIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.58,-0.82,-1.35,-0.76,-0.23,-0.23,94.0,56.0
1,2000,11.13,11.63,9.44,-0.5,1.69,0.73,84.0,22.0
2,2001,8.15,8.44,7.64,-0.29,0.5,0.73,112.0,33.0
3,2002,7.48,10.26,8.04,-2.77,-0.55,0.72,222.0,71.0
4,2003,5.61,4.1,5.1,1.51,0.51,0.74,221.0,29.0
5,2004,4.6,4.34,3.91,0.26,0.69,0.71,0.71,24.0
6,2005,2.85,2.43,1.8,0.42,1.05,0.69,136.0,6.0
7,2006,4.13,4.33,4.15,-0.2,-0.02,0.67,105.0,41.0
8,2007,6.33,6.97,4.7,-0.64,1.63,0.66,105.0,21.0
9,2008,1.41,5.24,-4.7,-3.83,6.1,0.64,128.0,28.0
10,2009,12.31,5.93,13.97,6.38,-1.66,0.67,82.0,53.0
11,2010,7.16,6.54,7.72,0.61,-0.56,0.6,69.0,57.0
12,2011,6.25,7.84,5.86,-1.59,0.39,0.59,111.0,51.0
13,2012,5.86,4.21,7.01,1.64,-1.15,0.57,157.0,63.0
14,2013,-2.26,-2.02,-1.42,-0.24,-0.84,0.58,131.0,72.0
15,YTD,5.86,5.87,5.34,-0.0,0.52,0.59,121.0,35.0
