,Year,PRCOX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.5,21.04,20.16,-9.54,-8.66,1.26,133.0,92.0
1,2000,-6.32,-9.1,-6.31,2.78,-0.02,1.15,65.0,38.0
2,2001,-10.1,-11.89,-13.5,1.78,3.4,1.25,54.0,21.0
3,2002,-22.25,-22.1,-22.25,-0.15,-0.0,1.37,48.0,44.0
4,2003,30.78,28.68,27.05,2.1,3.74,1.41,1.41,13.0
5,2004,11.39,10.88,10.02,0.51,1.37,1.2,1.2,29.0
6,2005,4.58,4.91,5.88,-0.34,-1.3,1.02,46.0,64.0
7,2006,15.81,15.79,14.17,0.01,1.64,0.78,53.0,20.0
8,2007,5.64,5.49,6.16,0.15,-0.52,0.74,54.0,46.0
9,2008,-36.48,-37.0,-37.79,0.52,1.31,0.79,64.0,31.0
10,2009,29.28,26.46,28.17,2.81,1.11,0.79,43.0,36.0
11,2010,13.3,15.06,14.01,-1.76,-0.71,0.74,38.0,60.0
12,2011,1.29,2.11,-1.27,-0.82,2.56,0.77,37.0,28.0
13,2012,15.99,16.0,14.96,-0.01,1.03,0.75,35.0,34.0
14,2013,32.73,32.39,31.5,0.34,1.23,0.71,31.0,37.0
15,YTD,12.48,13.98,11.28,-1.5,1.2,1.2,1.2,43.0
