,Year,PRDGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.82,21.04,20.16,-23.86,-22.98,0.77,38.0,99.0
1,2000,10.06,-9.1,-6.31,19.16,16.36,0.81,36.0,38.0
2,2001,-3.64,-11.89,-13.5,8.25,9.86,0.82,35.0,38.0
3,2002,-18.47,-22.1,-22.25,3.63,3.78,0.83,20.0,49.0
4,2003,25.17,28.68,27.05,-3.52,-1.88,0.83,0.83,75.0
5,2004,11.9,10.88,10.02,1.01,1.87,0.78,0.78,23.0
6,2005,3.35,4.91,5.88,-1.56,-2.53,0.75,23.0,82.0
7,2006,16.45,15.79,14.17,0.66,2.28,0.72,20.0,14.0
8,2007,7.07,5.49,6.16,1.58,0.91,0.69,16.0,35.0
9,2008,-33.26,-37.0,-37.79,3.74,4.53,0.73,23.0,15.0
10,2009,26.15,26.46,28.17,-0.31,-2.02,0.72,14.0,58.0
11,2010,13.26,15.06,14.01,-1.8,-0.75,0.68,16.0,60.0
12,2011,3.53,2.11,-1.27,1.42,4.81,0.68,10.0,11.0
13,2012,14.85,16.0,14.96,-1.16,-0.11,0.67,12.0,58.0
14,2013,30.35,32.39,31.5,-2.03,-1.15,0.66,13.0,69.0
15,YTD,12.17,13.98,11.28,-1.8,0.89,0.89,0.89,47.0
