,Year,PRDMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,13.7,10.88,13.23,2.82,0.47,1.25,1.25,46.0
1,2005,9.67,4.91,9.84,4.76,-0.17,1.25,20.0,54.0
2,2006,8.74,15.79,9.0,-7.05,-0.25,1.25,30.0,49.0
3,2007,13.59,5.49,15.09,8.09,-1.5,1.25,28.0,55.0
4,2008,-43.19,-37.0,-43.77,-6.19,0.58,1.25,38.0,43.0
5,2009,45.3,26.46,39.11,18.83,6.19,1.26,31.0,29.0
6,2010,27.94,15.06,24.61,12.88,3.32,1.12,28.0,27.0
7,2011,-4.39,2.11,-3.96,-6.51,-0.43,1.0,42.0,53.0
8,2012,16.51,16.0,14.07,0.51,2.44,0.97,24.0,24.0
9,2013,34.57,32.39,34.93,2.18,-0.36,0.91,18.0,55.0
10,YTD,11.46,13.98,6.96,-2.52,4.5,4.5,4.5,13.0
