,Year,PRDSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.69,21.04,64.77,6.65,-37.08,1.25,49.0,79.0
1,2000,-8.29,-9.1,-3.85,0.81,-4.44,1.25,66.0,58.0
2,2001,-9.81,-11.89,-8.91,2.08,-0.9,1.35,30.0,51.0
3,2002,-27.5,-22.1,-27.88,-5.4,0.38,1.25,44.0,53.0
4,2003,40.24,28.68,45.54,11.56,-5.29,1.25,1.25,64.0
5,2004,10.26,10.88,12.41,-0.62,-2.15,1.25,1.25,65.0
6,2005,10.49,4.91,6.02,5.58,4.47,1.25,29.0,19.0
7,2006,3.35,15.79,10.81,-12.44,-7.46,1.25,39.0,96.0
8,2007,9.35,5.49,7.59,3.85,1.76,1.25,47.0,42.0
9,2008,-36.28,-37.0,-41.55,0.71,5.27,1.25,30.0,14.0
10,2009,37.98,26.46,35.46,11.52,2.52,1.25,28.0,36.0
11,2010,33.5,15.06,26.98,18.44,6.52,1.25,18.0,16.0
12,2011,1.54,2.11,-3.55,-0.57,5.1,1.1,17.0,13.0
13,2012,15.69,16.0,13.15,-0.31,2.54,0.91,15.0,26.0
14,2013,44.19,32.39,40.91,11.8,3.28,0.82,13.0,31.0
15,YTD,5.2,13.98,0.47,-8.77,4.73,4.73,4.73,11.0
