,Year,PREFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-9.7,-11.89,-22.3,2.19,12.6,12.6,12.6,21.0
1,2002,-23.48,-22.1,-27.64,-1.38,4.16,4.16,15.0,34.0
2,2003,37.05,28.68,28.66,8.36,8.39,1.25,27.0,41.0
3,2004,14.04,10.88,7.81,3.16,6.24,1.25,1.25,45.0
4,2005,4.63,4.91,6.71,-0.28,-2.08,1.25,8.0,85.0
5,2006,8.5,15.79,7.05,-7.3,1.44,1.44,20.0,51.0
6,2007,13.38,5.49,13.35,7.88,0.02,1.25,17.0,56.0
7,2008,-43.45,-37.0,-40.67,-6.46,-2.79,1.25,21.0,44.0
8,2009,41.73,26.46,35.68,15.27,6.05,1.25,36.0,42.0
9,2010,21.38,15.06,15.53,6.31,5.85,1.25,68.0,9.0
10,2011,-0.92,2.11,-2.46,-3.03,1.54,1.22,39.0,38.0
11,2012,15.28,16.0,15.34,-0.72,-0.06,1.03,25.0,48.0
12,2013,35.47,32.39,33.92,3.08,1.55,0.98,29.0,33.0
13,YTD,10.15,13.98,10.79,-3.83,-0.64,0.89,18.0,60.0
