,Year,PREIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.64,21.04,20.16,-0.4,0.48,0.4,5.0,41.0
1,2000,-9.3,-9.1,-6.31,-0.2,-3.0,0.35,9.0,58.0
2,2001,-12.17,-11.89,-13.5,-0.28,1.33,0.35,4.0,41.0
3,2002,-22.21,-22.1,-22.25,-0.11,0.04,0.35,7.0,42.0
4,2003,28.31,28.68,27.05,-0.38,1.26,0.35,0.35,31.0
5,2004,10.51,10.88,10.02,-0.37,0.48,0.35,0.35,42.0
6,2005,4.62,4.91,5.88,-0.29,-1.25,0.35,8.0,62.0
7,2006,15.41,15.79,14.17,-0.39,1.24,0.35,3.0,30.0
8,2007,5.18,5.49,6.16,-0.31,-0.98,0.35,4.0,55.0
9,2008,-37.06,-37.0,-37.79,-0.07,0.73,0.35,7.0,40.0
10,2009,26.33,26.46,28.17,-0.14,-1.84,0.35,5.0,56.0
11,2010,14.71,15.06,14.01,-0.35,0.71,0.32,8.0,35.0
12,2011,1.87,2.11,-1.27,-0.25,3.14,0.3,6.0,20.0
13,2012,15.68,16.0,14.96,-0.32,0.72,0.29,8.0,42.0
14,2013,32.02,32.39,31.5,-0.37,0.52,0.28,10.0,47.0
15,YTD,13.7,13.98,11.28,-0.27,2.42,2.42,2.42,21.0
