,Year,PREMX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,22.97,-0.82,29.58,23.79,-6.61,1.25,54.0,87.0
1,2000,15.2,11.63,12.68,3.57,2.52,1.21,32.0,17.0
2,2001,9.35,8.44,12.83,0.9,-3.49,1.16,105.0,56.0
3,2002,9.52,10.26,12.69,-0.74,-3.17,1.14,51.0,94.0
4,2003,26.05,4.1,30.83,21.95,-4.78,1.1,1.1,97.0
5,2004,14.83,4.34,12.31,10.49,2.52,1.08,1.08,10.0
6,2005,17.26,2.43,11.5,14.83,5.76,1.03,50.0,3.0
7,2006,11.43,4.33,10.99,7.09,0.44,0.98,57.0,44.0
8,2007,5.81,6.97,5.36,-1.15,0.46,0.96,63.0,26.0
9,2008,-17.71,5.24,-17.64,-22.95,-0.08,0.98,57.0,56.0
10,2009,34.95,5.93,32.43,29.02,2.52,0.97,37.0,37.0
11,2010,13.28,6.54,12.34,6.74,0.94,0.95,35.0,33.0
12,2011,3.47,7.84,1.98,-4.37,1.5,0.94,50.0,53.0
13,2012,19.62,4.21,17.95,15.4,1.67,0.94,41.0,24.0
14,2013,-7.19,-2.02,-7.27,-5.16,0.08,0.94,46.0,50.0
15,YTD,6.77,5.87,3.43,0.9,3.34,3.34,3.34,21.0
