,Year,PRESX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,19.7,30.63,30.54,-10.93,-10.83,1.05,16.0,72.0
1,2000,-6.66,-15.31,-9.12,8.65,2.46,1.02,25.0,39.0
2,2001,-20.65,-19.73,-19.15,-0.92,-1.51,1.09,6.0,35.0
3,2002,-18.66,-14.95,-13.89,-3.71,-4.76,1.11,16.0,54.0
4,2003,36.57,40.83,39.0,-4.26,-2.44,1.12,1.12,46.0
5,2004,16.42,20.91,21.4,-4.48,-4.98,1.07,1.07,66.0
6,2005,8.94,16.62,15.27,-7.68,-6.33,1.06,82.0,78.0
7,2006,31.56,26.65,33.56,4.91,-1.99,1.03,84.0,66.0
8,2007,15.36,16.65,12.52,-1.29,2.84,0.98,88.0,22.0
9,2008,-43.35,-45.53,-49.79,2.18,6.44,1.01,106.0,16.0
10,2009,34.4,41.45,47.32,-7.05,-12.92,1.08,88.0,34.0
11,2010,8.76,11.15,10.51,-2.39,-1.76,1.03,61.0,52.0
12,2011,-9.3,-13.71,-15.15,4.4,5.84,1.01,58.0,22.0
13,2012,23.25,16.83,20.94,6.42,2.31,1.0,42.0,42.0
14,2013,35.43,15.29,26.52,20.15,8.91,0.96,48.0,5.0
15,YTD,-3.36,-0.27,-4.09,-3.09,0.73,0.73,0.73,32.0
