,Year,PRFDX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.82,21.04,6.72,-17.22,-2.9,0.77,22.0,60.0
1,2000,13.12,-9.1,7.87,22.22,5.25,0.78,22.0,23.0
2,2001,1.64,-11.89,-4.99,13.52,6.62,0.8,17.0,16.0
3,2002,-13.04,-22.1,-18.69,9.06,5.65,0.79,15.0,10.0
4,2003,25.78,28.68,28.44,-2.9,-2.65,0.78,0.78,69.0
5,2004,15.05,10.88,12.97,4.17,2.09,0.74,0.74,23.0
6,2005,4.26,4.91,5.95,-0.65,-1.69,0.71,21.0,68.0
7,2006,19.14,15.79,18.15,3.35,0.99,0.69,17.0,37.0
8,2007,3.3,5.49,1.42,-2.2,1.87,0.67,26.0,36.0
9,2008,-35.75,-37.0,-37.09,1.25,1.34,0.69,32.0,39.0
10,2009,25.62,26.46,24.13,-0.85,1.49,0.72,14.0,35.0
11,2010,15.15,15.06,13.66,0.09,1.49,0.68,12.0,26.0
12,2011,-0.72,2.11,-0.75,-2.84,0.02,0.68,15.0,48.0
13,2012,17.25,16.0,14.57,1.24,2.68,0.68,16.0,20.0
14,2013,29.75,32.39,31.21,-2.64,-1.46,0.67,10.0,69.0
15,YTD,6.84,13.98,10.25,-7.13,-3.41,-3.41,-3.41,91.0
