,Year,PRFEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.65,30.63,49.56,4.02,-14.91,0.74,18.0,52.0
1,2000,-16.73,-15.31,-21.04,-1.42,4.31,0.74,40.0,50.0
2,2001,-21.65,-19.73,-24.05,-1.92,2.4,0.74,21.0,48.0
3,2002,-17.65,-14.95,-19.15,-2.7,1.5,0.75,20.0,60.0
4,2003,31.7,40.83,33.83,-9.13,-2.13,0.76,0.76,59.0
5,2004,14.26,20.91,16.23,-6.64,-1.97,0.76,0.76,61.0
6,2005,16.67,16.62,15.23,0.05,1.44,0.78,56.0,38.0
7,2006,19.36,26.65,23.95,-7.29,-4.59,0.84,66.0,86.0
8,2007,12.25,16.65,16.26,-4.4,-4.01,0.89,74.0,80.0
9,2008,-48.57,-45.53,-46.56,-3.05,-2.01,1.02,72.0,61.0
10,2009,51.17,41.45,38.02,9.72,13.14,1.34,61.0,15.0
11,2010,14.57,11.15,14.78,3.41,-0.22,0.75,64.0,42.0
12,2011,-12.42,-13.71,-12.3,1.29,-0.11,0.75,52.0,54.0
13,2012,18.64,16.83,17.7,1.81,0.94,0.75,40.0,44.0
14,2013,14.34,15.29,18.58,-0.95,-4.24,0.75,48.0,72.0
15,YTD,3.04,-0.27,-0.63,3.31,3.67,3.67,3.67,16.0
