,Year,PRGFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,22.15,21.04,38.87,1.11,-16.73,0.74,56.0,83.0
1,2000,0.27,-9.1,-13.05,9.37,13.32,0.73,74.0,7.0
2,2001,-9.79,-11.89,-22.3,2.09,12.51,0.77,64.0,7.0
3,2002,-23.0,-22.1,-27.64,-0.9,4.65,0.77,47.0,20.0
4,2003,31.23,28.68,28.66,2.54,2.57,0.76,0.76,26.0
5,2004,10.24,10.88,7.81,-0.64,2.43,0.74,0.74,27.0
6,2005,6.56,4.91,6.71,1.65,-0.15,0.72,36.0,48.0
7,2006,14.05,15.79,7.05,-1.75,6.99,0.7,38.0,7.0
8,2007,10.37,5.49,13.35,4.87,-2.99,0.67,51.0,67.0
9,2008,-42.26,-37.0,-40.67,-5.26,-1.59,0.71,56.0,65.0
10,2009,43.25,26.46,35.68,16.78,7.57,0.73,59.0,17.0
11,2010,16.93,15.06,15.53,1.87,1.4,0.7,42.0,35.0
12,2011,-0.97,2.11,-2.46,-3.08,1.49,0.7,30.0,39.0
13,2012,18.92,16.0,15.34,2.91,3.58,0.7,31.0,14.0
14,2013,39.2,32.39,33.92,6.81,5.28,0.69,35.0,12.0
15,YTD,10.48,13.98,10.79,-3.49,-0.31,-0.31,-0.31,55.0
