,Year,PRGMX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.21,-0.82,-1.35,1.03,1.56,1.56,87.0,24.0
1,2000,10.94,11.63,10.86,-0.69,0.08,0.71,64.0,49.0
2,2001,7.69,8.44,6.81,-0.76,0.88,0.7,71.0,14.0
3,2002,9.03,10.26,9.23,-1.23,-0.2,0.7,386.0,45.0
4,2003,2.36,4.1,1.9,-1.74,0.46,0.7,386.0,22.0
5,2004,3.8,4.34,3.01,-0.53,0.79,0.69,0.69,18.0
6,2005,2.74,2.43,1.91,0.31,0.83,0.67,167.0,9.0
7,2006,3.86,4.33,3.47,-0.47,0.4,0.66,135.0,30.0
8,2007,6.55,6.97,6.09,-0.42,0.46,0.65,81.0,36.0
9,2008,5.62,5.24,4.76,0.38,0.86,0.62,90.0,55.0
10,2009,6.36,5.93,4.74,0.43,1.61,0.66,108.0,30.0
11,2010,6.49,6.54,5.66,-0.06,0.83,0.63,79.0,24.0
12,2011,6.46,7.84,6.7,-1.39,-0.24,0.61,226.0,55.0
13,2012,2.82,4.21,2.8,-1.39,0.02,0.6,344.0,39.0
14,2013,-2.41,-2.02,-2.72,-0.39,0.31,0.59,217.0,37.0
15,YTD,5.61,5.87,4.77,-0.26,0.84,0.61,261.0,17.0
