,Year,PRIDX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,155.03,30.63,83.28,124.4,71.75,1.42,98.0,3.0
1,2000,-15.6,-15.31,-15.12,-0.29,-0.48,1.27,81.0,58.0
2,2001,-24.64,-19.73,-24.44,-4.9,-0.2,1.38,59.0,56.0
3,2002,-16.27,-14.95,-15.43,-1.32,-0.83,1.44,94.0,60.0
4,2003,65.29,40.83,54.17,24.46,11.12,1.41,1.41,20.0
5,2004,23.76,20.91,24.38,2.85,-0.63,1.32,1.32,54.0
6,2005,27.89,16.62,24.86,11.27,3.02,1.28,85.0,38.0
7,2006,27.65,26.65,26.79,1.0,0.86,1.24,82.0,46.0
8,2007,16.57,16.65,12.03,-0.08,4.54,1.21,68.0,34.0
9,2008,-49.93,-45.53,-49.02,-4.4,-0.9,1.24,67.0,58.0
10,2009,55.69,41.45,49.24,14.24,6.45,1.29,64.0,17.0
11,2010,20.47,11.15,23.04,9.31,-2.57,1.24,55.0,77.0
12,2011,-14.08,-13.71,-14.72,-0.38,0.63,1.23,49.0,31.0
13,2012,26.0,16.83,22.2,9.17,3.8,1.23,40.0,11.0
14,2013,24.37,15.29,26.61,9.09,-2.23,1.23,50.0,60.0
15,YTD,0.56,-0.27,-3.86,0.83,4.41,4.41,4.41,15.0
