,Year,PRIPX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,7.6,4.1,7.15,3.5,0.46,0.5,36.0,50.0
1,2004,7.46,4.34,7.48,3.12,-0.01,0.5,0.5,65.0
2,2005,2.32,2.43,2.09,-0.11,0.23,0.5,26.0,33.0
3,2006,0.0,4.33,0.09,-4.33,-0.09,0.5,16.0,50.0
4,2007,11.13,6.97,9.86,4.17,1.27,0.5,14.0,25.0
5,2008,-1.82,5.24,-4.08,-7.06,2.27,0.5,7.0,36.0
6,2009,10.44,5.93,10.88,4.51,-0.44,0.5,34.0,41.0
7,2010,6.29,6.54,5.94,-0.25,0.35,0.5,11.0,31.0
8,2011,12.02,7.84,10.93,4.18,1.09,0.5,18.0,46.0
9,2012,6.36,4.21,6.45,2.14,-0.09,0.5,7.0,51.0
10,2013,-8.77,-2.02,-7.85,-6.74,-0.91,0.5,15.0,48.0
11,YTD,4.67,5.87,3.23,-1.2,1.44,0.5,28.0,16.0
