,Year,PRJPX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,112.71,30.63,110.08,82.08,2.64,1.14,59.0,43.0
1,2000,-37.22,-15.31,-35.86,-21.9,-1.35,1.09,59.0,76.0
2,2001,-32.25,-19.73,-31.38,-12.52,-0.87,1.25,46.0,61.0
3,2002,-16.86,-14.95,-14.18,-1.91,-2.68,1.35,104.0,73.0
4,2003,44.14,40.83,38.14,3.31,5.99,1.38,1.38,19.0
5,2004,16.83,20.91,13.96,-4.08,2.87,1.21,1.21,28.0
6,2005,40.04,16.62,32.69,23.42,7.35,1.18,161.0,17.0
7,2006,-5.66,26.65,-1.75,-32.32,-3.91,1.01,154.0,71.0
8,2007,-5.52,16.65,-9.1,-22.17,3.58,1.02,111.0,21.0
9,2008,-31.42,-45.53,-35.14,14.11,3.72,1.07,105.0,25.0
10,2009,0.84,41.45,7.42,-40.61,-6.58,1.15,122.0,87.0
11,2010,14.22,11.15,11.94,3.07,2.28,1.13,62.0,47.0
12,2011,-8.39,-13.71,-13.46,5.31,5.07,1.12,72.0,24.0
13,2012,10.69,16.83,11.27,-6.14,-0.58,1.14,55.0,33.0
14,2013,29.96,15.29,26.7,14.67,3.26,1.06,89.0,14.0
15,YTD,-6.18,-0.27,-2.13,-5.91,-4.04,-4.04,-4.04,88.0
