,Year,PRLAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,59.38,30.63,59.58,28.75,-0.2,1.62,43.0,47.0
1,2000,-11.2,-15.31,-15.05,4.11,3.86,1.46,28.0,23.0
2,2001,-0.23,-19.73,-5.85,19.5,5.62,1.49,30.0,1.0
3,2002,-18.1,-14.95,-20.3,-3.15,2.19,1.53,21.0,1.0
4,2003,57.92,40.83,61.76,17.09,-3.84,1.55,1.55,76.0
5,2004,38.35,20.91,38.58,17.44,-0.23,1.41,1.41,57.0
6,2005,60.05,16.62,53.89,43.43,6.16,1.29,18.0,1.0
7,2006,51.24,26.65,44.35,24.59,6.89,1.24,35.0,1.0
8,2007,48.93,16.65,45.77,32.28,3.16,1.2,23.0,7.0
9,2008,-55.7,-45.53,-59.15,-10.17,3.45,1.22,20.0,48.0
10,2009,114.36,41.45,115.54,72.91,-1.18,1.29,21.0,32.0
11,2010,18.49,11.15,15.45,7.33,3.03,1.24,14.0,37.0
12,2011,-25.17,-13.71,-22.64,-11.46,-2.53,1.25,15.0,81.0
13,2012,10.3,16.83,9.78,-6.53,0.52,1.24,17.0,41.0
14,2013,-15.95,15.29,-11.96,-31.24,-3.99,1.25,13.0,69.0
15,YTD,-4.63,-0.27,-4.65,-4.36,0.01,0.01,0.01,51.0
