,Year,PRMDX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.52,-2.06,0.34,3.58,1.18,1.18,46.0,12.0
1,2000,5.54,11.68,6.75,-6.14,-1.2,0.6,41.0,78.0
2,2001,5.66,5.13,4.5,0.53,1.16,0.6,29.0,1.0
3,2002,4.1,9.6,6.4,-5.51,-2.3,0.59,24.0,89.0
4,2003,1.81,5.31,2.89,-3.5,-1.08,0.54,32.0,89.0
5,2004,0.88,4.48,1.8,-3.6,-0.92,0.53,0.53,96.0
6,2005,0.87,3.51,0.92,-2.64,-0.05,0.53,25.0,56.0
7,2006,2.87,4.84,3.05,-1.97,-0.17,0.55,44.0,55.0
8,2007,3.75,3.36,3.43,0.39,0.32,0.56,70.0,28.0
9,2008,3.35,-2.47,1.55,5.83,1.8,0.59,29.0,6.0
10,2009,3.75,12.91,6.27,-9.16,-2.52,0.58,23.0,94.0
11,2010,0.76,2.38,1.93,-1.62,-1.17,0.52,20.0,91.0
12,2011,1.38,10.7,4.63,-9.32,-3.25,0.52,31.0,83.0
13,2012,0.72,6.78,3.05,-6.06,-2.33,0.53,69.0,87.0
14,2013,0.73,-2.55,-1.37,3.28,2.09,0.53,37.0,7.0
15,YTD,0.77,8.5,3.38,-7.73,-2.61,0.53,20.0,86.0
