,Year,PRNEX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.22,24.93,30.64,-3.71,-9.42,0.74,32.0,80.0
1,2000,20.37,-13.18,29.49,33.54,-9.13,0.72,29.0,64.0
2,2001,-4.35,-16.82,-10.44,12.47,6.09,0.72,18.0,24.0
3,2002,-6.34,-19.89,-0.8,13.55,-5.54,0.72,11.0,60.0
4,2003,33.2,33.11,32.76,0.1,0.44,0.72,0.72,31.0
5,2004,30.09,14.72,27.47,15.37,2.62,0.69,0.69,33.0
6,2005,29.88,9.49,38.2,20.39,-8.32,0.68,36.0,71.0
7,2006,17.0,20.07,10.53,-3.07,6.46,0.66,16.0,36.0
8,2007,40.69,9.04,37.12,31.65,3.57,0.63,18.0,42.0
9,2008,-50.18,-40.71,-48.79,-9.47,-1.39,0.66,21.0,62.0
10,2009,49.36,29.99,48.48,19.37,0.88,0.69,20.0,49.0
11,2010,20.96,11.76,18.06,9.2,2.89,0.67,27.0,40.0
12,2011,-15.1,-5.54,-13.97,-9.56,-1.14,0.67,26.0,54.0
13,2012,4.01,15.83,4.34,-11.82,-0.33,0.67,38.0,49.0
14,2013,15.72,26.68,8.75,-10.96,6.97,0.66,55.0,24.0
15,YTD,-6.01,6.66,-10.45,-12.67,4.44,4.44,4.44,24.0
