,Year,PRPIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.83,-0.82,-3.43,-0.01,2.6,2.6,141.0,9.0
1,2000,7.97,11.63,7.91,-3.65,0.06,0.8,91.0,48.0
2,2001,9.79,8.44,9.11,1.35,0.68,0.8,98.0,27.0
3,2002,4.23,10.26,8.86,-6.02,-4.62,0.8,93.0,92.0
4,2003,13.07,4.1,9.34,8.97,3.73,0.8,93.0,12.0
5,2004,7.06,4.34,5.79,2.72,1.27,0.75,0.75,19.0
6,2005,2.52,2.43,1.94,0.09,0.58,0.78,61.0,15.0
7,2006,4.93,4.33,4.36,0.59,0.56,0.78,59.0,25.0
8,2007,3.71,6.97,4.17,-3.25,-0.45,0.73,43.0,57.0
9,2008,-9.99,5.24,-7.9,-15.23,-2.08,0.74,39.0,58.0
10,2009,22.09,5.93,22.61,16.16,-0.52,0.73,36.0,54.0
11,2010,9.6,6.54,10.0,3.06,-0.4,0.62,38.0,64.0
12,2011,7.68,7.84,7.46,-0.16,0.22,0.64,57.0,34.0
13,2012,11.15,4.21,11.06,6.93,0.09,0.65,72.0,49.0
14,2013,-1.42,-2.02,-1.06,0.6,-0.36,0.62,47.0,73.0
15,YTD,8.47,5.87,7.18,2.61,1.3,0.63,44.0,18.0
