,Year,PRSCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,100.99,24.93,129.22,76.06,-28.23,0.87,128.0,70.0
1,2000,-34.19,-13.18,-31.36,-21.01,-2.83,0.86,134.0,61.0
2,2001,-41.19,-16.82,-36.89,-24.36,-4.29,1.0,144.0,58.0
3,2002,-40.58,-19.89,-42.86,-20.7,2.27,1.11,61.0,35.0
4,2003,51.25,33.11,55.77,18.14,-4.52,1.09,1.09,54.0
5,2004,1.6,14.72,4.24,-13.13,-2.65,1.01,1.01,60.0
6,2005,2.46,9.49,5.76,-7.02,-3.3,1.0,59.0,72.0
7,2006,7.1,20.07,7.08,-12.96,0.03,0.97,101.0,46.0
8,2007,11.88,9.04,16.12,2.84,-4.24,0.93,80.0,72.0
9,2008,-43.8,-40.71,-45.33,-3.08,1.53,1.0,94.0,30.0
10,2009,67.83,29.99,61.99,37.84,5.84,1.0,111.0,29.0
11,2010,21.25,11.76,20.0,9.48,1.25,0.92,68.0,41.0
12,2011,-4.51,-5.54,-7.62,1.03,3.11,0.9,77.0,28.0
13,2012,6.25,15.83,13.08,-9.58,-6.84,0.88,50.0,92.0
14,2013,43.7,26.68,35.45,17.02,8.25,0.86,72.0,22.0
15,YTD,15.5,6.66,13.32,8.84,2.18,2.18,2.18,30.0
