,Year,PRSGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.2,21.04,38.87,0.16,-17.68,-17.68,20.0,36.0
1,2000,-0.11,-9.1,-13.05,9.0,12.94,12.94,12.0,18.0
2,2001,-7.63,-11.89,-22.3,4.25,14.67,14.67,6.0,11.0
3,2002,-19.86,-22.1,-27.64,2.24,7.78,7.78,4.0,23.0
4,2003,34.09,28.68,28.66,5.41,5.44,5.44,5.44,7.0
5,2004,15.16,10.88,7.81,4.28,7.35,7.35,7.35,7.0
6,2005,9.47,4.91,6.71,4.56,2.76,2.76,10.0,12.0
7,2006,16.37,15.79,7.05,0.57,9.31,9.31,8.0,15.0
8,2007,8.65,5.49,13.35,3.16,-4.7,-4.7,5.0,23.0
9,2008,-41.52,-37.0,-40.67,-4.52,-0.85,-0.85,15.0,81.0
10,2009,40.94,26.46,35.68,14.48,5.26,5.26,10.0,24.0
11,2010,16.88,15.06,15.53,1.81,1.35,1.35,7.0,14.0
12,2011,-3.6,2.11,-2.46,-5.72,-1.14,-1.14,13.0,73.0
13,2012,18.13,16.0,15.34,2.12,2.79,2.79,9.0,20.0
14,2013,28.59,32.39,33.92,-3.8,-5.33,-5.33,10.0,91.0
15,YTD,7.09,13.98,10.79,-6.89,-3.7,-3.7,-3.7,87.0
