,Year,PRSIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.17,13.49,5.85,-8.33,-0.68,-0.68,49.0,49.0
1,2000,6.59,1.68,4.28,4.91,2.31,0.9,45.0,22.0
2,2001,0.95,-2.46,-0.39,3.41,1.34,0.9,80.0,35.0
3,2002,-3.37,-6.69,-3.11,3.32,-0.26,1.02,116.0,51.0
4,2003,18.58,22.48,12.34,-3.9,6.24,0.8,109.0,13.0
5,2004,9.95,11.48,5.46,-1.53,4.49,0.71,0.71,5.0
6,2005,5.19,7.04,2.97,-1.85,2.22,0.76,84.0,8.0
7,2006,9.64,12.95,8.16,-3.31,1.48,0.78,53.0,20.0
8,2007,7.26,8.63,4.53,-1.37,2.73,0.71,70.0,10.0
9,2008,-20.38,-22.19,-18.61,1.81,-1.77,0.62,81.0,58.0
10,2009,25.47,21.77,20.77,3.7,4.7,0.66,67.0,20.0
11,2010,11.68,12.33,10.03,-0.65,1.65,0.55,44.0,23.0
12,2011,0.89,0.59,1.7,0.3,-0.81,0.51,56.0,64.0
13,2012,12.53,12.04,9.4,0.49,3.13,0.48,62.0,12.0
14,2013,11.95,14.31,7.23,-2.36,4.72,0.46,65.0,12.0
15,YTD,5.48,5.81,4.98,-0.33,0.5,0.45,59.0,36.0
