,Year,PRSVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.19,21.04,19.95,-19.85,-18.76,0.92,7.0,59.0
1,2000,19.77,-9.1,11.89,28.88,7.88,0.9,14.0,47.0
2,2001,21.94,-11.89,8.92,33.83,13.02,0.89,17.0,24.0
3,2002,-1.76,-22.1,-16.22,20.34,14.47,0.89,12.0,11.0
4,2003,36.43,28.68,43.41,7.74,-6.98,0.88,0.88,74.0
5,2004,25.69,10.88,18.94,14.81,6.75,0.86,0.86,8.0
6,2005,8.74,4.91,6.75,3.83,1.99,0.84,12.0,30.0
7,2006,16.24,15.79,15.03,0.44,1.21,0.83,12.0,36.0
8,2007,-0.13,5.49,-1.1,-5.63,0.97,0.81,14.0,37.0
9,2008,-28.61,-37.0,-36.56,8.39,7.95,0.85,13.0,8.0
10,2009,26.88,26.46,31.8,0.42,-4.92,0.87,8.0,64.0
11,2010,25.25,15.06,25.61,10.19,-0.35,0.83,12.0,55.0
12,2011,-0.6,2.11,-4.07,-2.72,3.46,0.82,6.0,18.0
13,2012,17.76,16.0,15.46,1.75,2.3,0.82,5.0,23.0
14,2013,32.74,32.39,37.39,0.35,-4.65,0.81,6.0,86.0
15,YTD,-2.1,13.98,1.83,-16.08,-3.93,-3.93,-3.93,85.0
