,Year,PRWAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.76,21.04,38.87,-8.28,-26.12,0.94,40.0,91.0
1,2000,-10.53,-9.1,-13.05,-1.43,2.52,0.93,81.0,37.0
2,2001,-11.89,-11.89,-22.3,-0.0,10.42,0.99,52.0,10.0
3,2002,-28.54,-22.1,-27.64,-6.44,-0.9,0.99,61.0,56.0
4,2003,35.22,28.68,28.66,6.54,6.56,0.98,0.98,13.0
5,2004,11.1,10.88,7.81,0.21,3.29,0.92,0.92,21.0
6,2005,4.35,4.91,6.71,-0.56,-2.37,0.91,53.0,68.0
7,2006,7.24,15.79,7.05,-8.56,0.18,0.89,61.0,49.0
8,2007,13.74,5.49,13.35,8.24,0.38,0.85,60.0,44.0
9,2008,-38.31,-37.0,-40.67,-1.31,2.36,0.91,88.0,33.0
10,2009,49.33,26.46,35.68,22.87,13.65,0.89,68.0,8.0
11,2010,19.34,15.06,15.53,4.27,3.81,0.83,60.0,18.0
12,2011,-0.41,2.11,-2.46,-2.52,2.05,0.81,32.0,32.0
13,2012,13.56,16.0,15.34,-2.45,-1.78,0.81,34.0,67.0
14,2013,37.73,32.39,33.92,5.34,3.81,0.81,92.0,16.0
15,YTD,10.8,13.98,10.79,-3.18,0.01,0.01,0.01,51.0
