,Year,PRWBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.29,-0.82,2.21,3.11,0.08,0.08,52.0,51.0
1,2000,8.48,11.63,7.59,-3.14,0.89,0.72,51.0,26.0
2,2001,8.47,8.44,7.27,0.02,1.19,0.59,78.0,12.0
3,2002,5.32,10.26,5.47,-4.93,-0.15,0.55,50.0,54.0
4,2003,3.72,4.1,2.54,-0.38,1.18,0.55,110.0,14.0
5,2004,1.49,4.34,1.63,-2.85,-0.13,0.55,0.55,48.0
6,2005,1.74,2.43,1.45,-0.69,0.29,0.55,56.0,32.0
7,2006,4.38,4.33,4.05,0.05,0.33,0.55,40.0,26.0
8,2007,5.48,6.97,4.29,-1.49,1.19,0.55,70.0,29.0
9,2008,1.23,5.24,-4.23,-4.01,5.46,0.55,59.0,24.0
10,2009,9.0,5.93,9.3,3.07,-0.3,0.55,32.0,49.0
11,2010,3.13,6.54,4.11,-3.41,-0.97,0.55,28.0,67.0
12,2011,1.46,7.84,1.66,-6.38,-0.2,0.54,72.0,51.0
13,2012,2.86,4.21,3.67,-1.36,-0.81,0.53,92.0,61.0
14,2013,0.3,-2.02,0.45,2.32,-0.15,0.51,66.0,55.0
15,YTD,1.12,5.87,1.45,-4.74,-0.33,0.52,46.0,61.0
