,Year,PSGIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,72.46,21.04,64.77,51.42,7.69,0.82,176.0,32.0
1,2000,-13.31,-9.1,-3.85,-4.2,-9.46,0.78,218.0,70.0
2,2001,-34.34,-11.89,-8.91,-22.46,-25.43,-25.43,363.0,96.0
3,2002,-27.36,-22.1,-27.88,-5.26,0.52,0.85,238.0,51.0
4,2003,55.25,28.68,45.54,26.57,9.72,0.89,167.0,14.0
5,2004,10.39,10.88,12.41,-0.49,-2.02,0.92,0.92,64.0
6,2005,6.44,4.91,6.02,1.52,0.41,0.94,91.0,44.0
7,2006,19.05,15.79,10.81,3.26,8.24,0.83,46.0,6.0
8,2007,15.33,5.49,7.59,9.84,7.74,0.82,81.0,15.0
9,2008,-39.84,-37.0,-41.55,-2.84,1.71,0.77,81.0,37.0
10,2009,34.74,26.46,35.46,8.27,-0.72,0.88,82.0,49.0
11,2010,23.07,15.06,26.98,8.0,-3.92,0.83,128.0,76.0
12,2011,0.22,2.11,-3.55,-1.9,3.77,0.8,141.0,21.0
13,2012,11.06,16.0,13.15,-4.94,-2.09,0.82,147.0,75.0
14,2013,45.32,32.39,40.91,12.93,4.41,0.82,175.0,24.0
15,YTD,-0.82,13.98,0.47,-14.8,-1.29,-1.29,132.0,68.0
