,Year,PSPTX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,30.47,28.68,27.05,1.78,3.42,0.74,398.0,15.0
1,2004,13.6,10.88,10.02,2.72,3.57,0.74,0.74,12.0
2,2005,4.15,4.91,5.88,-0.77,-1.73,0.74,414.0,72.0
3,2006,13.81,15.79,14.17,-1.99,-0.36,0.74,322.0,59.0
4,2007,8.51,5.49,6.16,3.02,2.35,0.71,284.0,24.0
5,2008,-42.97,-37.0,-37.79,-5.97,-5.18,0.67,411.0,88.0
6,2009,41.3,26.46,28.17,14.84,13.13,0.64,521.0,7.0
7,2010,25.41,15.06,14.01,10.35,11.41,0.64,609.0,1.0
8,2011,2.81,2.11,-1.27,0.7,4.08,0.64,476.0,14.0
9,2012,26.57,16.0,14.96,10.57,11.61,0.64,601.0,1.0
10,2013,30.41,32.39,31.5,-1.97,-1.09,0.64,419.0,68.0
11,YTD,15.47,13.98,11.28,1.49,4.19,0.64,392.0,5.0
