,Year,PSTIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,3.54,10.88,-14.16,-7.34,17.7,0.75,190.0,1.0
1,2005,0.84,4.91,-4.41,-4.08,5.24,0.74,742.0,12.0
2,2006,-6.66,15.79,-8.88,-22.45,2.22,0.74,667.0,34.0
3,2007,6.38,5.49,-6.03,0.88,12.41,0.74,413.0,10.0
4,2008,48.56,-37.0,29.95,85.56,18.61,0.71,220.0,28.0
5,2009,-13.9,26.46,-33.88,-40.37,19.98,0.69,515.0,15.0
6,2010,-8.48,15.06,-24.28,-23.55,15.8,0.69,406.0,4.0
7,2011,-4.84,2.11,-10.85,-6.95,6.01,0.66,483.0,25.0
8,2012,-6.98,16.0,-23.7,-22.98,16.72,0.64,635.0,6.0
9,2013,-24.55,32.39,-34.36,-56.94,9.81,0.64,297.0,8.0
10,YTD,-11.25,13.98,-17.94,-25.22,6.7,0.64,364.0,20.0
