,Year,PSTKX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.13,21.04,20.16,-0.91,-0.03,-0.03,-0.03,50.0
1,2000,-8.22,-9.1,-6.31,0.88,-1.91,0.65,92.0,47.0
2,2001,-11.47,-11.89,-13.5,0.41,2.03,0.65,315.0,31.0
3,2002,-19.88,-22.1,-22.25,2.22,2.37,0.65,455.0,23.0
4,2003,29.63,28.68,27.05,0.95,2.58,0.65,282.0,19.0
5,2004,10.46,10.88,10.02,-0.42,0.44,0.65,287.0,43.0
6,2005,3.22,4.91,5.88,-1.69,-2.66,0.65,371.0,83.0
7,2006,14.72,15.79,14.17,-1.08,0.55,0.63,239.0,43.0
8,2007,6.45,5.49,6.16,0.96,0.29,0.57,76.0,40.0
9,2008,-45.42,-37.0,-37.79,-8.42,-7.63,0.53,67.0,93.0
10,2009,42.04,26.46,28.17,15.57,13.87,0.5,425.0,6.0
11,2010,18.2,15.06,14.01,3.14,4.19,0.5,392.0,9.0
12,2011,1.67,2.11,-1.27,-0.44,2.94,0.5,225.0,23.0
13,2012,21.07,16.0,14.96,5.07,6.11,0.5,404.0,4.0
14,2013,32.9,32.39,31.5,0.51,1.4,0.5,321.0,36.0
15,YTD,14.7,13.98,11.28,0.72,3.42,0.5,169.0,9.0
