,Year,PTLDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.97,-0.82,2.21,3.79,0.76,0.76,0.76,31.0
1,2000,7.7,11.63,7.59,-3.93,0.1,0.43,82.0,53.0
2,2001,8.01,8.44,7.27,-0.43,0.74,0.43,348.0,27.0
3,2002,7.66,10.26,5.47,-2.6,2.19,0.43,569.0,15.0
4,2003,2.97,4.1,2.54,-1.13,0.43,0.43,218.0,30.0
5,2004,2.39,4.34,1.63,-1.95,0.76,0.43,247.0,16.0
6,2005,1.55,2.43,1.45,-0.88,0.1,0.43,278.0,43.0
7,2006,3.75,4.33,4.05,-0.58,-0.3,0.43,68.0,66.0
8,2007,7.92,6.97,4.29,0.95,3.63,0.43,73.0,1.0
9,2008,-1.28,5.24,-4.23,-6.52,2.95,0.43,141.0,42.0
10,2009,13.36,5.93,9.3,7.43,4.05,0.45,223.0,18.0
11,2010,4.96,6.54,4.11,-1.58,0.86,0.46,488.0,25.0
12,2011,1.71,7.84,1.66,-6.13,0.05,0.46,461.0,43.0
13,2012,6.16,4.21,3.67,1.95,2.49,0.46,437.0,10.0
14,2013,0.1,-2.02,0.45,2.13,-0.35,0.46,445.0,63.0
15,YTD,1.43,5.87,1.45,-4.44,-0.02,0.46,248.0,43.0
