,Year,PTSAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.95,-0.82,-1.35,-0.13,0.4,0.4,0.4,38.0
1,2000,10.11,11.63,9.44,-1.52,0.67,0.5,186.0,50.0
2,2001,9.98,8.44,7.64,1.53,2.33,0.5,581.0,7.0
3,2002,9.98,10.26,8.04,-0.27,1.95,0.5,449.0,14.0
4,2003,6.36,4.1,5.1,2.26,1.26,0.5,221.0,22.0
5,2004,5.45,4.34,3.91,1.11,1.54,0.5,180.0,7.0
6,2005,2.55,2.43,1.8,0.12,0.75,0.5,368.0,12.0
7,2006,3.86,4.33,4.15,-0.47,-0.29,0.5,275.0,56.0
8,2007,8.54,6.97,4.7,1.57,3.83,0.5,225.0,2.0
9,2008,4.21,5.24,-4.7,-1.03,8.9,0.5,327.0,15.0
10,2009,13.85,5.93,13.97,7.92,-0.13,0.5,305.0,46.0
11,2010,9.08,6.54,7.72,2.54,1.37,0.5,459.0,23.0
12,2011,3.53,7.84,5.86,-4.32,-2.34,0.5,377.0,91.0
13,2012,9.69,4.21,7.01,5.48,2.68,0.5,522.0,16.0
14,2013,-2.07,-2.02,-1.42,-0.05,-0.65,0.5,376.0,66.0
15,YTD,5.25,5.87,5.34,-0.61,-0.09,0.5,316.0,61.0
