,Year,PTSHX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.24,-0.82,4.39,6.06,0.85,0.85,0.85,12.0
1,2000,7.28,11.63,6.82,-4.34,0.47,0.45,38.0,19.0
2,2001,5.65,8.44,5.53,-2.8,0.12,0.45,121.0,53.0
3,2002,2.86,10.26,2.9,-7.4,-0.04,0.45,130.0,43.0
4,2003,2.6,4.1,1.75,-1.51,0.84,0.45,77.0,11.0
5,2004,1.78,4.34,1.27,-2.56,0.52,0.45,268.0,19.0
6,2005,2.65,2.43,2.53,0.23,0.13,0.45,356.0,37.0
7,2006,4.52,4.33,4.7,0.19,-0.18,0.45,230.0,58.0
8,2007,4.55,6.97,2.42,-2.42,2.13,0.45,187.0,29.0
9,2008,-1.3,5.24,-7.89,-6.54,6.59,0.45,191.0,27.0
10,2009,9.44,5.93,6.67,3.51,2.77,0.45,582.0,16.0
11,2010,1.93,6.54,2.27,-4.61,-0.34,0.45,446.0,40.0
12,2011,0.35,7.84,0.25,-7.49,0.1,0.45,182.0,41.0
13,2012,3.44,4.21,1.99,-0.78,1.45,0.45,307.0,12.0
14,2013,0.84,-2.02,0.49,2.86,0.35,0.45,180.0,17.0
15,YTD,1.22,5.87,0.49,-4.65,0.73,0.45,252.0,5.0
