,Year,PTTRX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.28,-0.82,-1.35,0.54,1.07,1.07,1.07,17.0
1,2000,12.09,11.63,9.44,0.46,2.65,0.43,223.0,7.0
2,2001,9.5,8.44,7.64,1.05,1.85,0.43,448.0,10.0
3,2002,10.2,10.26,8.04,-0.05,2.16,0.43,445.0,11.0
4,2003,5.56,4.1,5.1,1.46,0.46,0.43,234.0,29.0
5,2004,5.14,4.34,3.91,0.8,1.23,0.43,0.43,12.0
6,2005,2.89,2.43,1.8,0.46,1.08,0.43,470.0,5.0
7,2006,3.99,4.33,4.15,-0.34,-0.16,0.43,325.0,47.0
8,2007,9.07,6.97,4.7,2.11,4.37,0.43,257.0,1.0
9,2008,4.82,5.24,-4.7,-0.42,9.51,0.43,226.0,11.0
10,2009,13.83,5.93,13.97,7.9,-0.14,0.45,300.0,46.0
11,2010,8.83,6.54,7.72,2.29,1.11,0.46,402.0,26.0
12,2011,4.16,7.84,5.86,-3.68,-1.7,0.46,430.0,87.0
13,2012,10.36,4.21,7.01,6.15,3.35,0.46,584.0,12.0
14,2013,-1.92,-2.02,-1.42,0.1,-0.5,0.46,227.0,60.0
15,YTD,5.2,5.87,5.34,-0.67,-0.14,0.46,227.0,62.0
