,Year,QIVAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,24.99,30.63,40.28,-5.64,-15.3,1.75,78.0,86.0
1,2000,2.21,-15.31,-16.34,17.53,18.55,1.7,104.0,1.0
2,2001,-14.06,-19.73,-21.67,5.67,7.61,1.71,71.0,7.0
3,2002,-17.71,-14.95,-16.69,-2.76,-1.02,1.66,75.0,62.0
4,2003,35.21,40.83,33.58,-5.62,1.63,1.59,1.59,35.0
5,2004,14.1,20.91,17.39,-6.81,-3.29,1.54,1.54,86.0
6,2005,13.52,16.62,14.72,-3.1,-1.21,1.38,140.0,60.0
7,2006,25.38,26.65,24.77,-1.28,0.61,1.24,36.0,61.0
8,2007,-0.08,16.65,12.71,-16.73,-12.79,1.02,43.0,93.0
9,2008,-47.81,-45.53,-43.99,-2.29,-3.82,1.11,32.0,86.0
10,2009,48.81,41.45,31.24,7.36,17.57,1.53,42.0,4.0
11,2010,13.51,11.15,10.24,2.36,3.28,1.4,41.0,7.0
12,2011,-22.94,-13.71,-13.97,-9.24,-8.98,1.43,33.0,98.0
13,2012,22.95,16.83,18.29,6.12,4.66,1.43,155.0,3.0
14,2013,30.29,15.29,19.44,15.01,10.86,1.34,92.0,1.0
15,YTD,-6.7,-0.27,-1.63,-6.43,-5.06,-5.06,-5.06,94.0
