,Year,QRAAX_Returns,Morningstar Long-Only Commodity TR,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.84,31.12,31.12,5.72,5.72,5.72,5.72,29.0
1,2000,44.44,42.25,42.25,2.19,2.19,1.5,93.0,16.0
2,2001,-31.35,-23.12,-23.12,-8.23,-8.23,1.51,105.0,93.0
3,2002,27.44,34.03,34.03,-6.58,-6.58,1.68,49.0,3.0
4,2003,22.63,24.73,24.73,-2.1,-2.1,1.49,61.0,82.0
5,2004,19.62,17.63,17.63,1.99,1.99,1.4,87.0,83.0
6,2005,26.37,25.54,25.54,0.83,0.83,1.32,94.0,77.0
7,2006,-13.09,-0.23,-0.23,-12.86,-12.86,1.29,89.0,92.0
8,2007,30.23,31.76,31.76,-1.54,-1.54,1.13,52.0,83.0
9,2008,-54.57,-33.77,-33.77,-20.8,-20.8,1.08,86.0,85.0
10,2009,9.97,20.91,22.93,-10.94,-12.97,1.23,51.0,81.0
11,2010,8.61,23.62,16.03,-15.01,-7.42,1.19,38.0,78.0
12,2011,-2.93,-5.32,-8.05,2.39,5.12,1.2,21.0,16.0
13,2012,-1.8,3.66,-0.79,-5.46,-1.01,1.26,44.0,63.0
14,2013,-9.15,-3.75,-9.08,-5.4,-0.07,1.44,80.0,43.0
15,YTD,-14.43,-15.33,-11.72,0.9,-2.71,-2.71,-2.71,82.0
