,Year,RMUNX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.51,-2.06,-4.71,-3.45,-0.79,0.73,30.0,76.0
1,2000,11.93,11.68,11.93,0.24,-0.0,0.74,26.0,45.0
2,2001,5.15,5.13,3.83,0.03,1.32,0.7,11.0,6.0
3,2002,5.46,9.6,8.91,-4.14,-3.45,0.71,29.0,98.0
4,2003,8.1,5.31,4.96,2.79,3.14,0.71,0.71,3.0
5,2004,7.25,4.48,3.69,2.77,3.57,0.72,0.72,2.0
6,2005,8.76,3.51,3.25,5.25,5.51,0.73,29.0,2.0
7,2006,8.32,4.84,4.77,3.48,3.56,0.72,17.0,3.0
8,2007,-1.59,3.36,1.5,-4.95,-3.09,0.72,28.0,92.0
9,2008,-30.84,-2.47,-9.21,-28.36,-21.63,0.92,23.0,97.0
10,2009,45.07,12.91,18.31,32.16,26.76,1.15,8.0,1.0
11,2010,3.63,2.38,1.7,1.25,1.94,0.67,7.0,1.0
12,2011,11.5,10.7,9.85,0.8,1.65,0.69,11.0,13.0
13,2012,12.94,6.78,8.18,6.16,4.76,0.67,10.0,4.0
14,2013,-10.84,-2.55,-5.32,-8.29,-5.52,0.72,15.0,95.0
15,YTD,13.55,8.5,9.94,5.04,3.61,3.61,3.61,6.0
