,Year,RPBAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.26,13.49,10.71,-3.23,-0.44,0.79,21.0,54.0
1,2000,2.09,1.68,1.82,0.41,0.26,0.79,17.0,38.0
2,2001,-3.98,-2.46,-5.05,-1.51,1.07,0.83,36.0,38.0
3,2002,-8.54,-6.69,-12.02,-1.85,3.48,0.79,49.0,20.0
4,2003,21.71,22.48,20.35,-0.77,1.36,0.78,0.78,35.0
5,2004,10.32,11.48,8.86,-1.16,1.46,0.71,0.71,28.0
6,2005,5.52,7.04,5.13,-1.52,0.39,0.69,27.0,40.0
7,2006,13.73,12.95,11.29,0.78,2.44,0.64,42.0,15.0
8,2007,7.18,8.63,5.99,-1.45,1.19,0.64,60.0,33.0
9,2008,-28.43,-22.19,-28.0,-6.23,-0.42,0.67,58.0,51.0
10,2009,28.28,21.77,24.13,6.5,4.15,0.69,43.0,23.0
11,2010,12.51,12.33,11.83,0.17,0.67,0.64,44.0,37.0
12,2011,0.9,0.59,-0.11,0.31,1.01,0.63,58.0,36.0
13,2012,13.95,12.04,11.72,1.91,2.24,0.61,56.0,15.0
14,2013,19.25,14.31,16.48,4.94,2.77,0.6,54.0,25.0
15,YTD,7.04,5.81,6.95,1.23,0.09,0.09,0.09,47.0
