,Year,RPSIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.25,-0.82,2.89,1.08,-2.64,-2.64,19.0,72.0
1,2000,7.41,11.63,1.73,-4.22,5.67,0.77,19.0,10.0
2,2001,4.5,8.44,4.22,-3.95,0.28,0.28,6.0,56.0
3,2002,6.96,10.26,6.76,-3.29,0.2,0.8,14.0,47.0
4,2003,14.96,4.1,16.18,10.85,-1.22,-1.22,-1.22,57.0
5,2004,8.05,4.34,8.38,3.71,-0.32,-0.32,-0.32,56.0
6,2005,2.09,2.43,2.12,-0.34,-0.02,-0.02,40.0,54.0
7,2006,8.38,4.33,6.9,4.05,1.48,1.48,13.0,15.0
8,2007,6.18,6.97,4.45,-0.78,1.74,1.74,9.0,26.0
9,2008,-9.43,5.24,-15.41,-14.67,5.98,5.98,24.0,22.0
10,2009,20.29,5.93,29.22,14.36,-8.93,-8.93,16.0,81.0
11,2010,9.68,6.54,10.86,3.14,-1.18,-1.18,13.0,67.0
12,2011,4.16,7.84,3.37,-3.68,0.79,0.79,15.0,35.0
13,2012,10.16,4.21,11.71,5.94,-1.55,-1.55,15.0,70.0
14,2013,3.02,-2.02,1.87,5.04,1.15,1.15,14.0,31.0
15,YTD,4.76,5.87,4.67,-1.1,0.1,0.1,0.1,41.0
