,Year,SCTEX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.81,-2.06,-2.66,-0.75,-0.15,0.8,19.0,64.0
1,2000,10.15,11.68,9.62,-1.54,0.52,0.8,30.0,31.0
2,2001,4.47,5.13,4.37,-0.66,0.1,0.76,36.0,41.0
3,2002,8.57,9.6,8.12,-1.03,0.46,0.46,3.0,42.0
4,2003,3.58,5.31,4.03,-1.74,-0.46,0.71,3.0,68.0
5,2004,2.6,4.48,2.88,-1.88,-0.28,0.8,0.8,60.0
6,2005,1.54,3.51,2.08,-1.98,-0.54,0.69,9.0,70.0
7,2006,3.4,4.84,3.77,-1.44,-0.37,0.75,10.0,65.0
8,2007,3.02,3.36,2.05,-0.34,0.97,0.81,10.0,33.0
9,2008,-0.54,-2.47,-2.81,1.93,2.26,0.5,4.0,34.0
10,2009,9.15,12.91,11.29,-3.76,-2.14,0.53,12.0,72.0
11,2010,2.12,2.38,1.65,-0.26,0.47,0.55,10.0,29.0
12,2011,8.76,10.7,8.9,-1.94,-0.14,0.54,6.0,52.0
13,2012,4.27,6.78,4.75,-2.51,-0.48,0.54,19.0,60.0
14,2013,-1.68,-2.55,-2.82,0.88,1.14,0.55,9.0,9.0
15,YTD,5.41,8.5,6.39,-3.09,-0.98,-0.98,-0.98,66.0
