,Year,SETMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.95,-2.06,-2.06,-0.89,-0.88,-0.88,69.0,76.0
1,2000,10.5,11.68,9.16,-1.18,1.34,0.8,48.0,17.0
2,2001,4.75,5.13,4.39,-0.38,0.36,0.59,88.0,31.0
3,2002,8.13,9.6,8.57,-1.48,-0.44,0.49,60.0,59.0
4,2003,4.38,5.31,4.1,-0.93,0.29,0.65,19.0,36.0
5,2004,2.74,4.48,2.83,-1.74,-0.09,0.72,0.72,50.0
6,2005,2.04,3.51,1.8,-1.47,0.24,0.61,21.0,37.0
7,2006,3.8,4.84,3.67,-1.04,0.13,0.5,18.0,38.0
8,2007,3.09,3.36,2.75,-0.27,0.34,0.5,25.0,44.0
9,2008,-1.7,-2.47,-2.32,0.78,0.62,0.5,14.0,49.0
10,2009,10.27,12.91,11.41,-2.64,-1.14,0.53,23.0,55.0
11,2010,2.82,2.38,2.22,0.44,0.6,0.55,13.0,31.0
12,2011,9.66,10.7,9.0,-1.04,0.66,0.54,9.0,31.0
13,2012,5.62,6.78,5.62,-1.16,-0.0,0.54,10.0,40.0
14,2013,-1.8,-2.55,-2.27,0.75,0.47,0.54,15.0,38.0
15,YTD,6.73,8.5,6.44,-1.78,0.28,0.28,0.28,38.0
