,Year,SHGTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,116.23,24.93,129.22,91.3,-12.98,1.88,91.0,55.0
1,2000,-30.11,-13.18,-31.36,-16.93,1.24,1.56,144.0,49.0
2,2001,-21.78,-16.82,-36.89,-4.96,15.11,1.67,130.0,14.0
3,2002,-32.98,-19.89,-42.86,-13.1,9.87,1.81,152.0,6.0
4,2003,36.15,33.11,55.77,3.04,-19.62,1.89,1.89,93.0
5,2004,4.63,14.72,4.24,-10.09,0.39,1.83,1.83,41.0
6,2005,8.14,9.49,5.76,-1.34,2.38,1.83,151.0,32.0
7,2006,18.57,20.07,7.08,-1.5,11.49,1.77,195.0,9.0
8,2007,14.92,9.04,16.12,5.88,-1.2,1.75,208.0,56.0
9,2008,-40.45,-40.71,-45.33,0.26,4.88,1.76,171.0,17.0
10,2009,63.96,29.99,61.99,33.98,1.98,1.91,150.0,36.0
11,2010,15.37,11.76,20.0,3.61,-4.62,1.57,111.0,68.0
12,2011,-7.05,-5.54,-7.62,-1.51,0.57,1.49,95.0,43.0
13,2012,7.74,15.83,13.08,-8.09,-5.35,1.4,88.0,80.0
14,2013,26.38,26.68,35.45,-0.29,-9.06,1.5,81.0,79.0
15,YTD,22.37,6.66,13.32,15.72,9.06,9.06,9.06,12.0
