,Year,SLMCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,74.52,24.93,129.22,49.58,-54.7,-54.7,119.0,89.0
1,2000,-37.5,-13.18,-31.36,-24.32,-6.14,1.31,107.0,74.0
2,2001,3.58,-16.82,-36.89,20.4,40.47,1.44,123.0,1.0
3,2002,-36.78,-19.89,-42.86,-16.89,6.08,1.59,90.0,14.0
4,2003,42.26,33.11,55.77,9.16,-13.5,1.57,1.57,84.0
5,2004,10.57,14.72,4.24,-4.15,6.33,1.51,1.51,23.0
6,2005,7.36,9.49,5.76,-2.13,1.6,1.53,136.0,38.0
7,2006,21.8,20.07,7.08,1.74,14.73,1.49,187.0,1.0
8,2007,14.92,9.04,16.12,5.89,-1.2,1.46,206.0,55.0
9,2008,-36.52,-40.71,-45.33,4.19,8.81,1.52,133.0,8.0
10,2009,59.92,29.99,61.99,29.93,-2.07,1.61,150.0,42.0
11,2010,15.29,11.76,20.0,3.53,-4.7,1.36,105.0,70.0
12,2011,-4.86,-5.54,-7.62,0.68,2.76,1.35,66.0,30.0
13,2012,7.46,15.83,13.08,-8.36,-5.62,1.34,38.0,84.0
14,2013,23.32,26.68,35.45,-3.36,-12.13,1.37,61.0,98.0
15,YTD,24.05,6.66,13.32,17.4,10.74,1.41,48.0,7.0
