,Year,SLVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.68,21.04,6.72,-23.73,-9.41,-9.41,31.0,87.0
1,2000,29.09,-9.1,7.87,38.2,21.22,1.61,46.0,3.0
2,2001,-9.85,-11.89,-4.99,2.04,-4.86,1.46,18.0,77.0
3,2002,-30.85,-22.1,-18.69,-8.74,-12.15,1.61,24.0,99.0
4,2003,36.29,28.68,28.44,7.61,7.86,1.66,1.66,7.0
5,2004,15.69,10.88,12.97,4.81,2.72,1.62,1.62,19.0
6,2005,10.08,4.91,5.95,5.16,4.12,1.61,30.0,13.0
7,2006,12.92,15.79,18.15,-2.88,-5.23,1.54,30.0,96.0
8,2007,9.03,5.49,1.42,3.54,7.61,1.51,18.0,6.0
9,2008,-37.2,-37.0,-37.09,-0.2,-0.11,1.61,28.0,58.0
10,2009,26.07,26.46,24.13,-0.39,1.94,1.61,24.0,33.0
11,2010,20.21,15.06,13.66,5.14,6.55,1.37,12.0,3.0
12,2011,-1.01,2.11,-0.75,-3.12,-0.26,1.28,14.0,51.0
13,2012,17.57,16.0,14.57,1.57,3.01,1.25,5.0,17.0
14,2013,37.69,32.39,31.21,5.3,6.48,1.24,18.0,7.0
15,YTD,10.17,13.98,10.25,-3.81,-0.08,1.18,8.0,57.0
