,Year,SMCEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.82,21.04,19.95,-10.22,-9.13,-9.13,-9.13,60.0
1,2000,17.17,-9.1,11.89,26.28,5.28,5.28,43.0,30.0
2,2001,18.9,-11.89,8.92,30.79,9.99,0.92,46.0,14.0
3,2002,-8.23,-22.1,-16.22,13.87,7.99,0.9,23.0,11.0
4,2003,39.14,28.68,43.41,10.45,-4.27,0.91,9.0,62.0
5,2004,16.55,10.88,18.94,5.67,-2.39,0.9,0.9,67.0
6,2005,6.27,4.91,6.75,1.36,-0.47,0.88,16.0,56.0
7,2006,16.2,15.79,15.03,0.41,1.17,0.91,14.0,36.0
8,2007,-0.39,5.49,-1.1,-5.88,0.71,0.96,44.0,38.0
9,2008,-33.01,-37.0,-36.56,3.99,3.55,1.0,25.0,28.0
10,2009,33.95,26.46,31.8,7.48,2.14,1.08,11.0,30.0
11,2010,28.33,15.06,25.61,13.27,2.72,1.05,26.0,20.0
12,2011,-2.95,2.11,-4.07,-5.06,1.12,1.05,33.0,46.0
13,2012,13.38,16.0,15.46,-2.62,-2.08,1.11,26.0,74.0
14,2013,36.15,32.39,37.39,3.76,-1.24,1.11,34.0,63.0
15,YTD,-2.7,13.98,1.83,-16.68,-4.53,1.1,19.0,89.0
