,Year,SMCWX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,61.64,30.63,41.13,31.01,20.51,20.51,50.0,45.0
1,2000,-15.56,-15.31,-9.14,-0.24,-6.42,1.1,63.0,81.0
2,2001,-17.35,-19.73,-17.51,2.38,0.16,1.09,60.0,76.0
3,2002,-22.25,-14.95,-19.36,-7.3,-2.89,1.17,51.0,27.0
4,2003,50.4,40.83,34.49,9.57,15.91,1.19,49.0,23.0
5,2004,17.76,20.91,15.27,-3.14,2.5,1.12,1.12,21.0
6,2005,16.53,16.62,11.61,-0.08,4.92,1.04,45.0,15.0
7,2006,22.96,26.65,19.72,-3.69,3.24,1.01,45.0,19.0
8,2007,17.15,16.65,11.28,0.5,5.87,0.98,48.0,16.0
9,2008,-49.4,-45.53,-41.91,-3.88,-7.49,1.01,50.0,85.0
10,2009,53.49,41.45,35.27,12.04,18.22,1.24,56.0,8.0
11,2010,24.92,11.15,13.74,13.76,11.17,1.13,45.0,7.0
12,2011,-14.34,-13.71,-7.93,-0.64,-6.41,1.09,39.0,84.0
13,2012,21.94,16.83,15.84,5.11,6.1,1.14,35.0,10.0
14,2013,29.29,15.29,25.19,14.01,4.11,1.13,37.0,25.0
15,YTD,1.63,-0.27,4.54,1.9,-2.91,1.07,38.0,79.0
