,Year,SMGIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.09,21.04,20.16,-13.95,-13.07,1.05,20.0,90.0
1,2000,3.95,-9.1,-6.31,13.05,10.25,1.89,42.0,10.0
2,2001,-5.56,-11.89,-13.5,6.33,7.94,7.94,7.94,7.0
3,2002,-24.86,-22.1,-22.25,-2.76,-2.61,-2.61,13.0,79.0
4,2003,22.83,28.68,27.05,-5.86,-4.22,1.03,21.0,85.0
5,2004,5.94,10.88,10.02,-4.94,-4.08,1.07,1.07,90.0
6,2005,11.32,4.91,5.88,6.41,5.45,0.99,105.0,5.0
7,2006,14.64,15.79,14.17,-1.15,0.47,0.89,63.0,45.0
8,2007,12.53,5.49,6.16,7.03,6.37,0.89,88.0,10.0
9,2008,-35.42,-37.0,-37.79,1.58,2.38,0.89,106.0,24.0
10,2009,37.25,26.46,28.17,10.78,9.08,0.92,131.0,10.0
11,2010,16.21,15.06,14.01,1.15,2.21,0.88,94.0,17.0
12,2011,-0.93,2.11,-1.27,-3.04,0.34,0.91,78.0,52.0
13,2012,18.67,16.0,14.96,2.67,3.71,0.91,62.0,10.0
14,2013,35.73,32.39,31.5,3.34,4.23,0.89,47.0,17.0
15,YTD,13.2,13.98,11.28,-0.78,1.92,0.86,65.0,32.0
