,Year,SRBFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.27,-0.82,-1.35,2.1,2.62,2.62,2.62,5.0
1,2000,10.87,11.63,9.44,-0.75,1.44,1.44,1.44,28.0
2,2001,9.16,8.44,7.64,0.71,1.51,0.72,0.72,14.0
3,2002,5.78,10.26,8.04,-4.48,-2.26,0.79,179.0,88.0
4,2003,9.5,4.1,5.1,5.4,4.4,0.8,114.0,9.0
5,2004,4.88,4.34,3.91,0.54,0.97,0.74,0.74,17.0
6,2005,2.4,2.43,1.8,-0.03,0.6,0.69,40.0,19.0
7,2006,4.6,4.33,4.15,0.26,0.45,0.64,126.0,23.0
8,2007,4.62,6.97,4.7,-2.34,-0.08,0.62,150.0,64.0
9,2008,-5.8,5.24,-4.7,-11.04,-1.1,0.63,266.0,58.0
10,2009,19.11,5.93,13.97,13.18,5.14,0.64,137.0,19.0
11,2010,7.91,6.54,7.72,1.37,0.19,0.65,30.0,39.0
12,2011,6.68,7.84,5.86,-1.16,0.82,0.67,31.0,38.0
13,2012,7.36,4.21,7.01,3.15,0.36,0.59,10.0,41.0
14,2013,-2.31,-2.02,-1.42,-0.29,-0.88,0.62,239.0,74.0
15,YTD,5.4,5.87,5.34,-0.47,0.06,0.6,0.6,56.0
