,Year,SRHMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.14,-2.06,-3.71,-0.08,1.57,1.57,19.0,10.0
1,2000,7.15,11.68,5.54,-4.53,1.61,0.78,14.0,16.0
2,2001,5.05,5.13,5.41,-0.08,-0.36,0.81,16.0,43.0
3,2002,6.85,9.6,6.29,-2.75,0.56,0.88,16.0,35.0
4,2003,6.93,5.31,7.01,1.61,-0.09,0.86,17.0,34.0
5,2004,5.3,4.48,6.57,0.82,-1.28,0.69,0.69,78.0
6,2005,5.52,3.51,6.35,2.0,-0.83,0.67,7.0,71.0
7,2006,6.53,4.84,7.14,1.69,-0.61,0.65,13.0,56.0
8,2007,-1.79,3.36,-3.31,-5.15,1.52,0.68,27.0,38.0
9,2008,-22.88,-2.47,-25.27,-20.41,2.38,0.7,32.0,43.0
10,2009,27.77,12.91,30.89,14.85,-3.12,0.7,26.0,71.0
11,2010,5.42,2.38,3.77,3.04,1.65,0.65,18.0,8.0
12,2011,11.25,10.7,10.18,0.55,1.07,0.65,23.0,29.0
13,2012,12.6,6.78,13.82,5.82,-1.22,0.6,9.0,61.0
14,2013,-3.5,-2.55,-5.99,-0.94,2.49,0.65,9.0,6.0
15,YTD,12.8,8.5,12.88,4.29,-0.08,0.67,12.0,52.0
