,Year,STLAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.85,13.49,4.54,-8.65,0.31,0.95,66.0,20.0
1,2000,4.73,1.68,4.39,3.05,0.35,0.95,0.95,34.0
2,2001,3.6,-2.46,0.14,6.07,3.46,3.46,3.46,1.0
3,2002,-2.7,-6.69,-3.93,3.99,1.22,0.89,56.0,41.0
4,2003,11.94,22.48,13.04,-10.54,-1.1,0.85,0.85,70.0
5,2004,6.36,11.48,6.46,-5.12,-0.1,0.82,0.82,56.0
6,2005,4.32,7.04,3.3,-2.72,1.02,0.81,11.0,12.0
7,2006,8.8,12.95,7.34,-4.15,1.46,0.78,10.0,21.0
8,2007,4.5,8.63,4.46,-4.14,0.04,0.77,6.0,61.0
9,2008,-15.04,-22.19,-18.06,7.15,3.02,0.76,11.0,28.0
10,2009,18.24,21.77,18.36,-3.53,-0.12,0.76,6.0,47.0
11,2010,9.33,12.33,8.94,-3.01,0.39,0.76,4.0,44.0
12,2011,3.96,0.59,1.6,3.37,2.36,0.77,0.77,13.0
13,2012,8.61,12.04,9.01,-3.43,-0.4,0.78,4.0,60.0
14,2013,6.25,14.31,7.36,-8.05,-1.11,0.75,17.0,52.0
15,YTD,5.33,5.81,5.03,-0.48,0.3,0.3,0.3,41.0
