,Year,STLCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,14.12,13.49,18.34,0.63,-4.22,0.95,36.0,40.0
1,2000,-3.74,1.68,-4.21,-5.42,0.47,0.95,0.95,15.0
2,2001,-6.42,-2.46,-9.85,-3.96,3.43,3.43,3.43,10.0
3,2002,-12.59,-6.69,-13.42,-5.89,0.84,0.89,67.0,44.0
4,2003,20.6,22.48,21.84,-1.88,-1.23,0.85,0.85,58.0
5,2004,9.27,11.48,9.61,-2.21,-0.34,0.79,0.79,59.0
6,2005,6.53,7.04,5.8,-0.51,0.73,0.78,17.0,25.0
7,2006,13.01,12.95,11.95,0.06,1.06,0.75,16.0,27.0
8,2007,3.34,8.63,6.02,-5.29,-2.68,0.73,7.0,86.0
9,2008,-25.42,-22.19,-29.46,-3.23,4.04,0.73,13.0,14.0
10,2009,22.71,21.77,24.25,0.93,-1.54,0.72,6.0,69.0
11,2010,10.9,12.33,12.27,-1.43,-1.37,0.73,4.0,78.0
12,2011,1.47,0.59,-0.22,0.87,1.68,0.74,0.74,12.0
13,2012,10.99,12.04,11.68,-1.05,-0.69,0.75,5.0,66.0
14,2013,9.67,14.31,11.57,-4.64,-1.9,1.05,19.0,71.0
15,YTD,5.71,5.81,5.64,-0.1,0.06,0.06,0.06,46.0
