,Year,STLDX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,16.85,13.49,18.32,3.36,-1.47,0.95,19.0,25.0
1,2000,-5.65,1.68,-5.92,-7.33,0.27,0.95,0.95,17.0
2,2001,-9.94,-2.46,-10.47,-7.47,0.53,0.53,0.53,1.0
3,2002,-15.73,-6.69,-14.2,-9.04,-1.53,0.89,68.0,54.0
4,2003,23.86,22.48,23.89,1.38,-0.03,0.85,0.85,27.0
5,2004,10.78,11.48,10.95,-0.7,-0.17,0.78,0.78,48.0
6,2005,7.63,7.04,6.81,0.59,0.83,0.76,24.0,20.0
7,2006,15.11,12.95,13.6,2.16,1.52,0.74,22.0,23.0
8,2007,2.64,8.63,6.5,-6.0,-3.86,0.72,7.0,86.0
9,2008,-31.03,-22.19,-36.04,-8.83,5.01,0.72,13.0,5.0
10,2009,25.76,21.77,28.87,3.99,-3.11,0.7,7.0,84.0
11,2010,11.86,12.33,13.47,-0.48,-1.62,0.7,3.0,83.0
12,2011,-0.63,0.59,-2.26,-1.23,1.62,0.72,0.72,12.0
13,2012,13.08,12.04,13.59,1.04,-0.51,0.73,5.0,64.0
14,2013,13.66,14.31,16.65,-0.64,-2.99,1.0,22.0,78.0
15,YTD,6.24,5.81,6.17,0.43,0.07,0.07,0.07,50.0
