,Year,STLEX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.37,13.49,20.85,7.87,0.52,0.95,19.0,1.0
1,2000,-9.71,1.68,-10.06,-11.39,0.35,0.95,0.95,20.0
2,2001,-13.41,-2.46,-13.81,-10.95,0.4,0.4,0.4,1.0
3,2002,-18.73,-6.69,-16.99,-12.04,-1.74,0.9,62.0,54.0
4,2003,27.64,22.48,26.65,5.16,0.99,0.85,0.85,34.0
5,2004,11.43,11.48,11.71,-0.04,-0.28,0.78,0.78,53.0
6,2005,8.24,7.04,7.41,1.19,0.82,0.76,38.0,11.0
7,2006,16.97,12.95,14.67,4.01,2.3,0.73,29.0,11.0
8,2007,2.03,8.63,6.21,-6.6,-4.18,0.72,8.0,83.0
9,2008,-35.4,-22.19,-37.94,-13.21,2.54,0.69,14.0,9.0
10,2009,28.08,21.77,30.9,6.3,-2.82,0.69,6.0,79.0
11,2010,12.71,12.33,14.37,0.37,-1.66,0.69,4.0,81.0
12,2011,-2.38,0.59,-3.49,-2.97,1.11,0.7,0.7,17.0
13,2012,14.73,12.04,14.64,2.69,0.09,0.71,4.0,57.0
14,2013,16.92,14.31,19.97,2.61,-3.05,1.04,26.0,79.0
15,YTD,6.67,5.81,6.5,0.87,0.18,0.18,0.18,48.0
