,Year,STSEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,18.59,21.04,20.16,-2.45,-1.57,-1.57,1.0,59.0
1,2000,-4.13,-9.1,-6.31,4.98,2.18,0.55,10.0,30.0
2,2001,-10.35,-11.89,-13.5,1.53,3.15,0.57,1.0,22.0
3,2002,-18.78,-22.1,-22.25,3.32,3.47,0.6,3.0,17.0
4,2003,20.89,28.68,27.05,-7.79,-6.16,0.59,0.59,93.0
5,2004,7.63,10.88,10.02,-3.26,-2.4,0.61,98.0,80.0
6,2005,4.16,4.91,5.88,-0.76,-1.72,0.6,0.6,72.0
7,2006,14.65,15.79,14.17,-1.15,0.48,0.6,0.6,45.0
8,2007,9.49,5.49,6.16,4.0,3.33,0.6,1.0,20.0
9,2008,-31.48,-37.0,-37.79,5.52,6.31,0.6,0.6,9.0
10,2009,26.06,26.46,28.17,-0.41,-2.11,0.61,0.61,59.0
11,2010,12.11,15.06,14.01,-2.95,-1.9,0.62,2.0,76.0
12,2011,1.12,2.11,-1.27,-0.99,2.39,0.62,0.62,30.0
13,2012,9.05,16.0,14.96,-6.95,-5.91,0.69,6.0,95.0
14,2013,27.95,32.39,31.5,-4.44,-3.55,1.07,2.0,82.0
15,YTD,12.78,13.98,11.28,-1.2,1.49,1.49,1.49,38.0
