,Year,TEDMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,51.55,30.63,70.56,20.92,-19.01,-19.01,46.0,90.0
1,2000,-31.85,-15.31,-30.33,-16.54,-1.52,2.09,69.0,58.0
2,2001,-5.76,-19.73,-3.83,13.97,-1.93,2.09,69.0,71.0
3,2002,1.68,-14.95,-6.05,16.63,7.73,2.24,49.0,10.0
4,2003,53.14,40.83,55.19,12.31,-2.05,2.17,2.17,55.0
5,2004,25.45,20.91,23.54,4.54,1.91,2.03,2.03,35.0
6,2005,28.19,16.62,31.54,11.58,-3.35,1.97,35.0,72.0
7,2006,28.29,26.65,32.06,1.64,-3.76,1.86,52.0,78.0
8,2007,28.77,16.65,36.68,12.11,-7.92,1.82,92.0,87.0
9,2008,-53.91,-45.53,-54.44,-8.38,0.53,1.87,67.0,41.0
10,2009,73.92,41.45,73.81,32.47,0.1,1.9,47.0,45.0
11,2010,17.47,11.15,19.26,6.32,-1.79,1.84,26.0,65.0
12,2011,-15.85,-13.71,-19.86,-2.14,4.01,1.76,17.0,17.0
13,2012,13.12,16.83,18.15,-3.71,-5.02,1.7,26.0,85.0
14,2013,-1.26,15.29,-0.14,-16.55,-1.13,1.71,48.0,47.0
15,YTD,-3.11,-0.27,1.96,-2.84,-5.08,-5.08,-5.08,93.0
