,Year,TEEMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,56.45,30.63,70.56,25.82,-14.11,1.43,49.0,80.0
1,2000,-32.01,-15.31,-30.33,-16.7,-1.68,1.47,83.0,61.0
2,2001,-5.0,-19.73,-3.83,14.74,-1.17,1.45,65.0,67.0
3,2002,1.96,-14.95,-6.05,16.9,8.01,1.49,53.0,9.0
4,2003,53.84,40.83,55.19,13.01,-1.35,1.46,1.46,51.0
5,2004,26.4,20.91,23.54,5.5,2.86,1.45,1.45,27.0
6,2005,28.09,16.62,31.54,11.47,-3.45,1.42,36.0,73.0
7,2006,29.07,26.65,32.06,2.42,-2.98,1.42,41.0,75.0
8,2007,30.1,16.65,36.68,13.45,-6.58,1.41,87.0,83.0
9,2008,-54.1,-45.53,-54.44,-8.58,0.34,1.4,78.0,43.0
10,2009,75.16,41.45,73.81,33.72,1.35,1.45,49.0,39.0
11,2010,17.55,11.15,19.26,6.4,-1.71,1.37,24.0,63.0
12,2011,-12.02,-13.71,-19.86,1.68,7.83,1.32,9.0,6.0
13,2012,15.77,16.83,18.15,-1.06,-2.38,1.24,24.0,73.0
14,2013,0.72,15.29,-0.14,-14.57,0.86,1.29,52.0,32.0
15,YTD,-2.94,-0.27,1.96,-2.67,-4.91,-4.91,-4.91,93.0
