,Year,TEGOX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.17,30.63,41.13,-3.46,-13.95,1.42,48.0,64.0
1,2000,-3.16,-15.31,-9.14,12.16,5.98,1.43,68.0,25.0
2,2001,-8.97,-19.73,-17.51,10.76,8.54,1.41,15.0,15.0
3,2002,-21.79,-14.95,-19.36,-6.84,-2.43,1.46,27.0,70.0
4,2003,36.74,40.83,34.49,-4.09,2.25,1.5,1.5,33.0
5,2004,16.55,20.91,15.27,-4.35,1.29,1.42,1.42,39.0
6,2005,12.63,16.62,11.61,-3.99,1.02,1.38,10.0,43.0
7,2006,27.87,26.65,19.72,1.22,8.15,1.4,10.0,3.0
8,2007,17.44,16.65,11.28,0.79,6.16,1.3,9.0,15.0
9,2008,-42.54,-45.53,-41.91,2.98,-0.64,1.34,12.0,53.0
10,2009,33.63,41.45,35.27,-7.82,-1.64,1.37,15.0,45.0
11,2010,5.2,11.15,13.74,-5.96,-8.55,1.34,24.0,95.0
12,2011,-10.48,-13.71,-7.93,3.23,-2.55,1.33,27.0,69.0
13,2012,22.27,16.83,15.84,5.44,6.43,1.35,20.0,7.0
14,2013,25.75,15.29,25.19,10.47,0.56,1.32,28.0,48.0
15,YTD,-1.43,-0.27,4.54,-1.15,-5.96,-5.96,-5.96,90.0
