,Year,TEMFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.21,30.63,30.02,8.58,9.19,9.19,26.0,24.0
1,2000,-3.67,-15.31,-6.76,11.64,3.09,1.15,45.0,48.0
2,2001,-7.92,-19.73,-15.98,11.81,8.06,1.18,21.0,8.0
3,2002,-8.64,-14.95,-12.37,6.3,3.73,1.16,34.0,23.0
4,2003,30.51,40.83,39.07,-10.32,-8.55,1.22,33.0,90.0
5,2004,18.14,20.91,21.99,-2.77,-3.84,1.23,1.23,85.0
6,2005,10.63,16.62,13.19,-5.99,-2.56,1.15,34.0,72.0
7,2006,19.93,26.65,25.98,-6.72,-6.05,1.16,26.0,90.0
8,2007,17.24,16.65,9.01,0.59,8.23,1.16,18.0,7.0
9,2008,-46.09,-45.53,-42.41,-0.56,-3.68,1.14,22.0,76.0
10,2009,49.73,41.45,30.33,8.28,19.4,1.19,31.0,3.0
11,2010,8.5,11.15,7.48,-2.65,1.02,1.19,16.0,37.0
12,2011,-12.71,-13.71,-12.77,1.0,0.06,1.17,35.0,50.0
13,2012,18.55,16.83,16.21,1.72,2.35,1.21,20.0,28.0
14,2013,27.17,15.29,20.81,11.88,6.36,1.19,32.0,6.0
15,YTD,-6.98,-0.27,-2.55,-6.71,-4.43,1.16,31.0,97.0
