,Year,TEMGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.11,30.63,41.13,-20.52,-31.02,-31.02,14.0,94.0
1,2000,-8.38,-15.31,-9.14,6.93,0.76,1.37,27.0,43.0
2,2001,-1.71,-19.73,-17.51,18.03,15.81,1.46,37.0,7.0
3,2002,-8.79,-14.95,-19.36,6.16,10.57,1.44,25.0,7.0
4,2003,53.36,40.83,34.49,12.53,18.87,1.46,30.0,4.0
5,2004,26.27,20.91,15.27,5.36,11.0,1.42,1.42,3.0
6,2005,7.7,16.62,11.61,-8.92,-3.92,1.35,42.0,77.0
7,2006,24.3,26.65,19.72,-2.36,4.58,1.34,34.0,13.0
8,2007,0.93,16.65,11.28,-15.72,-10.35,1.32,28.0,94.0
9,2008,-50.28,-45.53,-41.91,-4.75,-8.37,1.35,17.0,89.0
10,2009,70.63,41.45,35.27,29.18,35.36,1.49,31.0,3.0
11,2010,26.3,11.15,13.74,15.15,12.56,1.39,22.0,5.0
12,2011,-20.68,-13.71,-7.93,-6.97,-12.75,1.35,23.0,96.0
13,2012,18.87,16.83,15.84,2.04,3.03,1.41,25.0,27.0
14,2013,32.2,15.29,25.19,16.91,7.01,1.39,28.0,14.0
15,YTD,-3.55,-0.27,4.54,-3.28,-8.09,1.34,26.0,95.0
