,Year,TEMWX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.12,30.63,41.13,-2.51,-13.01,-13.01,36.0,63.0
1,2000,-3.99,-15.31,-9.14,11.32,5.14,1.07,47.0,27.0
2,2001,-8.1,-19.73,-17.51,11.64,9.42,1.09,25.0,12.0
3,2002,-12.15,-14.95,-19.36,2.8,7.21,1.08,45.0,15.0
4,2003,33.38,40.83,34.49,-7.45,-1.11,1.11,44.0,52.0
5,2004,15.63,20.91,15.27,-5.28,0.36,1.11,1.11,45.0
6,2005,11.67,16.62,11.61,-4.95,0.05,1.08,24.0,50.0
7,2006,20.89,26.65,19.72,-5.76,1.18,1.06,35.0,40.0
8,2007,8.5,16.65,11.28,-8.16,-2.78,1.05,33.0,59.0
9,2008,-39.52,-45.53,-41.91,6.01,2.39,1.05,22.0,34.0
10,2009,32.61,41.45,35.27,-8.84,-2.66,1.1,18.0,49.0
11,2010,7.99,11.15,13.74,-3.16,-5.75,1.09,17.0,85.0
12,2011,-5.49,-13.71,-7.93,8.22,2.44,1.07,16.0,32.0
13,2012,19.4,16.83,15.84,2.57,3.56,1.09,19.0,25.0
14,2013,29.89,15.29,25.19,14.6,4.7,1.05,18.0,21.0
15,YTD,-1.03,-0.27,4.54,-0.76,-5.57,1.05,19.0,89.0
