,Year,TFEQX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.34,30.63,30.02,-3.29,-2.69,0.84,11.0,46.0
1,2000,-5.86,-15.31,-6.76,9.46,0.9,0.83,27.0,63.0
2,2001,-12.11,-19.73,-15.98,7.62,3.86,0.84,15.0,27.0
3,2002,-14.8,-14.95,-12.37,0.15,-2.43,0.83,16.0,65.0
4,2003,42.61,40.83,39.07,1.78,3.54,0.83,0.83,27.0
5,2004,21.25,20.91,21.99,0.34,-0.74,0.82,0.82,53.0
6,2005,13.61,16.62,13.19,-3.01,0.42,0.81,13.0,46.0
7,2006,29.04,26.65,25.98,2.39,3.06,0.8,8.0,25.0
8,2007,18.45,16.65,9.01,1.8,9.44,0.78,17.0,5.0
9,2008,-42.15,-45.53,-42.41,3.38,0.26,0.8,7.0,42.0
10,2009,33.63,41.45,30.33,-7.82,3.3,0.8,10.0,31.0
11,2010,6.7,11.15,7.48,-4.46,-0.78,0.8,14.0,57.0
12,2011,-10.9,-13.71,-12.77,2.81,1.87,0.79,10.0,22.0
13,2012,18.55,16.83,16.21,1.72,2.34,0.8,12.0,29.0
14,2013,19.51,15.29,20.81,4.22,-1.31,0.79,16.0,71.0
15,YTD,-3.72,-0.27,-2.55,-3.45,-1.17,-1.17,-1.17,66.0
