,Year,TFSCX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,,,,,,1.35,1.35,1.35
1,2003,51.21,40.83,49.12,10.38,2.09,0.95,0.95,38.0
2,2004,21.28,20.91,23.91,0.38,-2.62,0.95,0.95,59.0
3,2005,12.28,16.62,18.16,-4.34,-5.88,0.95,25.0,82.0
4,2006,28.78,26.65,26.48,2.13,2.31,0.95,17.0,37.0
5,2007,15.09,16.65,5.01,-1.56,10.08,0.95,21.0,1.0
6,2008,-47.28,-45.53,-47.29,-1.75,0.01,0.95,23.0,35.0
7,2009,68.04,41.45,44.06,26.59,23.98,0.95,16.0,13.0
8,2010,21.37,11.15,21.0,10.22,0.38,0.95,20.0,48.0
9,2011,-11.3,-13.71,-15.99,2.4,4.69,0.95,10.0,11.0
10,2012,21.56,16.83,21.38,4.73,0.18,0.95,20.0,35.0
11,2013,22.24,15.29,25.71,6.96,-3.46,0.98,24.0,82.0
12,YTD,-2.82,-0.27,-4.94,-2.55,2.12,2.12,2.12,31.0
