,Year,TICPX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,2.9,2.43,1.8,0.47,1.1,0.44,408.0,5.0
1,2006,4.38,4.33,4.15,0.04,0.23,0.23,128.0,29.0
2,2007,6.38,6.97,4.7,-0.58,1.68,0.44,110.0,19.0
3,2008,0.54,5.24,-4.7,-4.7,5.24,0.43,147.0,32.0
4,2009,14.5,5.93,13.97,8.57,0.53,0.4,93.0,41.0
5,2010,8.39,6.54,7.72,1.85,0.68,0.41,90.0,31.0
6,2011,6.23,7.84,5.86,-1.61,0.37,0.34,122.0,52.0
7,2012,7.16,4.21,7.01,2.94,0.15,0.34,141.0,44.0
8,2013,-1.46,-2.02,-1.42,0.57,-0.03,0.34,127.0,44.0
9,YTD,6.33,5.87,5.34,0.46,0.98,0.34,132.0,19.0
